age,gender,raceethnicity,armed,share_white,share_black,share_hispanic,h_income,pov,college
50,Male,Black,Firearm,0.6,95.6,3.9,18833,49.9,0.09653092
43,Male,White,Firearm,47.6,0.3,50.6,48735,10,0.163523637
38,Male,White,Firearm,89.6,3.4,4.5,38608,10.4,0.366545265
27,Male,Black,Firearm,58.6,25.5,10,79844,3.2,0.474940334
36,Male,White,Firearm,73.6,0,24.2,42759,20.5,0.128080808
55,Male,White,Knife,85.8,0.5,6,48077,16,0.247411444
36,Male,White,Firearm,36.3,2.3,59.8,55093,23.1,0.070159027
68,Male,White,No,62.3,6.1,30,54329,8.6,0.170081392
61,Male,White,No,53.3,6.4,34.6,59435,11.5,0.428831012
46,Male,White,No,82.5,10.5,0.4,31898,21.8,0.118260244
47,Male,White,Firearm,86.8,1.5,10.6,70469,10.8,0.204924761
26,Male,White,Vehicle,95.5,0,0,46007,18.2,0.086883596
